town,population,county
Dublin,1173179,Dublin
Cork,208669,Cork
Limerick,94192,Limerick
Galway,79934,Galway
Waterford,53504,Waterford
Drogheda,40956,Louth
Swords,39248,Dublin
Dundalk,39004,Louth
Bray,32600,Wicklow
Navan,30173,Meath
Kilkenny,26512,Kilkenny
Ennis,25276,Clare
Carlow,24272,Carlow
Tralee,23691,Kerry
Newbridge,22742,Kildare
Portlaoise,22050,Laois
Balbriggan,21722,Dublin
Naas,21393,Kildare
Athlone,21349,Westmeath
Mullingar,20928,Westmeath
Celbridge,20288,Kildare
Wexford,20188,Wexford
Letterkenny,19274,Donegal
Sligo,19199,Sligo
Greystones,18140,Wicklow
Clonmel,17140,Tipperary
Malahide,16550,Dublin
Carrigaline,15770,Cork
Leixlip,15504,Kildare
Tullamore,14607,Offaly
Maynooth,14585,Kildare
Killarney,14504,Kerry
Arklow,13163,Wicklow
Cobh,12800,Cork
Ashbourne,12679,Meath
Midleton,12496,Cork
Mallow,12459,Cork
Castlebar,12068,Mayo
Laytown-Bettystown-Mornington-Donacarney,11872,Meath
Enniscorthy,11381,Wexford
Cavan,10914,Cavan
Wicklow,10584,Wicklow
Tramore,10381,Waterford
Ballina,10171,Mayo
Skerries,10043,Dublin
Longford,10008,Longford
Rush,9943,Dublin
Gorey,9822,Wexford
Shannon,9729,Clare
Athy,9677,Kildare
Ratoath,9533,Meath
Portmarnock,9466,Dublin
Dungarvan,9227,Waterford
Trim,9194,Meath
Nenagh,8968,Tipperary
Tuam,8767,Galway
Kildare,8634,Kildare
Portarlington,8368,Laois
New Ross,8040,Wexford
Youghal,7963,Cork
Thurles,7940,Tipperary
Lusk,7786,Dublin
Monaghan,7678,Monaghan
Donabate,7443,Dublin
Edenderry,7359,Offaly
Clane,7280,Kildare
Dunboyne,7272,Meath
Bandon,6957,Cork
Buncrana,6785,Donegal
Ballinasloe,6662,Galway
Kinsealy-Drinan,6643,Dublin
Newcastle West,6619,Limerick
Fermoy,6585,Cork
Westport,6198,Mayo
Kells,6135,Meath
Kilcock,6093,Kildare
Roscommon,5876,Roscommon
Sallins,5849,Kildare
Passage West,5843,Cork
Carrick-on-Suir,5771,Tipperary
Birr,5741,Offaly
Loughrea,5556,Galway
Blessington,5520,Wicklow
Roscrea,5446,Tipperary
Kinsale,5281,Cork
Carrigtwohill,5080,Cork
Carrickmacross,5032,Monaghan
Oranmore,4990,Galway
Tipperary,4979,Tipperary
Ardee,4928,Louth
Ballybofey-Stranorlar,4852,Donegal
Listowel,4820,Kerry
Mountmellick,4777,Laois
Tullow,4673,Carlow
Clonakilty,4592,Cork
Athenry,4445,Galway
Cashel,4422,Tipperary
Rathcoole,4351,Dublin
Monasterevin,4246,Kildare
Kilcoole,4239,Wicklow
