name,full_org_id,country,org_id,num_reg,source_of_num_reg
French Horse - Non-TB,250001,250,001,200,Guess,
AHA : code for Arabs born in Panama only,591001,591,001,200,Guess,
American Bucksin Registry association,840001,840,001,200,Guess,
AHSB : code for Arabs born in Greece only,300002,300,002,200,Guess,
AHSB : code for Arabs born in Malta only,470002,470,002,200,Guess,
AWR : for Mexican AWR only,484002,484,002,200,Guess,
Anglo European Studbook,826002,826,002,200,Guess,
American Hackney Horse Society,840002,840,002,200,Guess,
Irish Piebald and Skewbald Association,372003,372,003,200,Guess,
KWPN - NA : code for horses born in Mexico,484003,484,003,200,Guess,
KWPN - NA : code for horses born in Mexico,484003,484,003,200,Guess,
British Association for the Purebred Spanish Horse,826003,826,003,200,Guess,
American Holsteiner Horse Association Inc,840003,840,003,200,Guess,
The Connemara Pony Breeders Society,372004,372,004,200,Guess,
AHA : code for Arabs born in Mexico only,484004,484,004,200,Guess,
American Miniature Horse Association,840004,840,004,200,Guess,
AHHA : Code for holsteiner horses born in Mexico only,484005,484,005,200,Guess,
British Appaloosa Society,826005,826,005,200,Guess,
American paint Horse Association,840005,840,005,200,Guess,
AWR : for canadian AWR only,124006,124,006,200,Guess,
Irish Cob Society,372006,372,006,200,Guess,
British Hanoverian Horse Society,826006,826,006,200,Guess,
American Quarter Horse Association,840006,840,006,200,Guess,
KWPN - NA : code for horses born in Canada,124007,124,007,200,Guess,
Code for Irish Standard and Trotting Horses only,372007,372,007,200,Guess,
"American Trakehner Association, Inc",840007,840,007,200,Guess,
AHSB : code for Arabs born in Ireland only,372008,372,008,200,Guess,
British miniature Horse Society,826008,826,008,200,Guess,
American Warmblood Registry,840008,840,008,200,Guess,
Irish Pony Society,372009,372,009,200,Guess,
British Morgan Horse Society,826009,826,009,200,Guess,
American Warmblood Society,840009,840,009,200,Guess,
Irish Warmblood Stud Book Ltd,372010,372,010,200,Guess,
British Palomino Horse Society,826010,826,010,200,Guess,
American White/american Creme Horse registry,840010,840,010,200,Guess,
British Percheron horse Society,826011,826,011,200,Guess,
Appaloosa Horse Club,840011,840,011,200,Guess,
Irish Appaloosa Association,372012,372,012,200,Guess,
American Quarter Horse Association UK,826012,826,012,200,Guess,
Arabian Horse Association,840012,840,012,200,Guess,
British Skewbald & Piebald Association,826013,826,013,200,Guess,
International Bucksin Horse Association INC,840014,840,014,200,Guess,
British Spotted Pony Society,826015,826,015,200,Guess,
Warmblood Breeders Studbook- UK,826016,826,016,200,Guess,
Oldenburg Horse Breeders Society,840016,840,016,200,Guess,
Caspian Horse Society,826017,826,017,200,Guess,
Oldenburg Registry North America,840017,840,017,200,Guess,
Cleveland Bay Horse Society,826018,826,018,200,Guess,
"Palomino Horse Breeders of America, INC",840018,840,018,200,Guess,
Peruvian Paso Horse Registry of North America,840019,840,019,200,Guess,
Dales Pony Society,826020,826,020,200,Guess,
