country,iso3166,population,pct_registered,confidence in pct_reg,source of pct_reg,pick
Afghanistan,4,171200,0.01,0,Guess,0
Albania,8,31729,0.01,0,Guess,0
Antarctica,10,31729,0.01,0,Guess,0
Algeria,12,44991,0.01,0,Guess,0
American Samoa,16,44991,0.01,0,Guess,0
Andorra,20,44991,0.01,0,Guess,0
Angola,24,1013,0.01,0,Guess,0
Antigua and Barbuda,28,493,0.01,0,Guess,0
Azerbaijan,31,71606,0.01,0,Guess,0
Argentina,32,2447582,0.01,0,Guess,0
Australia,36,268739,0.01,0,Guess,0
Austria,40,93225,0.8,0,Guess,0
Bahamas,44,,0.01,0,Guess,0
Bahrain,48,,0.01,0,Guess,0
Bangladesh,50,,0.01,0,Guess,0
Armenia,51,11402,0.01,0,Guess,0
Barbados,52,1259,0.01,0,Guess,0
Belgium,56,35079,0.8,0,Guess,0
Bermuda,60,1012,0.01,0,Guess,0
Bhutan,64,13914,0.01,0,Guess,0
Bolivia,68,499403,0.01,0,Guess,0
Bosnia and Herzegovina,70,16288,0.01,0,Guess,0
Botswana,72,34737,0.01,0,Guess,0
Bouvet Island,74,34737,0.01,0,Guess,0
Brazil,76,5577539,0.01,0,Guess,0
Belize,84,5919,0.01,0,Guess,0
British Indian Ocean Territory,86,100,0.01,0,Guess,0
Solomon Islands,90,152,0.01,0,Guess,0
Virgin Islands (British),92,152,0.01,0,Guess,0
Brunei Darussalam,96,152,0.01,0,Guess,0
Bulgaria,100,53614,0.01,0,Guess,0
Myanmar,104,102973,0.01,0,Guess,0
Burundi,108,102973,0.01,0,Guess,0
Belarus,112,55800,0.01,0,Guess,0
Cambodia,116,30025,0.01,0,Guess,0
Cameroon,120,18007,0.01,0,Guess,0
Canada,124,398802,0.8,0,Guess,319041
Cabo Verde,132,559,0.01,0,Guess,0
Cayman Islands,136,559,0.01,0,Guess,0
Central African Republic,140,559,0.01,0,Guess,0
Sri Lanka,144,1379,0.01,0,Guess,0
Chad,148,437566,0.01,0,Guess,0
Chile,152,245507,0.01,0,Guess,0
China,156,5910792,0.01,0,Guess,0
Taiwan Province of China,158,5910792,0.01,0,Guess,0
Christmas Island,162,5910792,0.01,0,Guess,0
Cocos (Keeling) Islands,166,5910792,0.01,0,Guess,0
Colombia,170,763505,0.01,0,Guess,0
Comoros,174,763505,0.01,0,Guess,0
Mayotte,175,763505,0.01,0,Guess,0
Congo,178,78,0.01,0,Guess,0
Congo (Democratic Republic of the),180,78,0.01,0,Guess,0
Cook Islands,184,303,0.01,0,Guess,0
Costa Rica,188,127793,0.01,0,Guess,0
Croatia,191,22775,0.01,0,Guess,0
Cuba,192,860800,0.01,0,Guess,0
Cyprus,196,660,0.01,0,Guess,0
Czechia,203,,0.01,0,Guess,0
Benin,204,1019,0.01,0,Guess,0
Denmark,208,51282,0.8,0,Guess,0
Dominica,212,51282,0.01,0,Guess,0
Dominican Republic,214,358766,0.01,0,Guess,0
Ecuador,218,219134,0.01,0,Guess,0
El Salvador,222,97753,0.01,0,Guess,0
Equatorial Guinea,226,97753,0.01,0,Guess,0
Ethiopia,231,2158176,0.01,0,Guess,0
Eritrea,232,2158176,0.01,0,Guess,0
Estonia,233,6314,0.01,0,Guess,0
Faroe Islands,234,6314,0.01,0,Guess,0
Falkland Islands (Malvinas),238,1157,0.01,0,Guess,0
South Georgia and the South Sandwich Islands,239,1157,0.01,0,Guess,0
Fiji,242,47159,0.01,0,Guess,0
Finland,246,74200,0.01,0,Guess,0
Aland Islands,248,74200,0.01,0,Guess,0
France,250,379554,0.8,0,Guess,303643
French Guiana,254,950,0.01,0,Guess,0
French Polynesia,258,2200,0.01,0,Guess,0
French Southern Territories,260,2200,0.01,0,Guess,0
Djibouti,262,2200,0.01,0,Guess,0
Gabon,266,2200,0.01,0,Guess,0
Georgia,268,40032,0.01,0,Guess,0
Gambia,270,8837,0.01,0,Guess,0
Palestine State of,275,8837,0.01,0,Guess,0
Germany,276,441954,0.8,0,Guess,353563
Ghana,288,2932,0.01,0,Guess,0
Gibraltar,292,2932,0.01,0,Guess,0
Kiribati,296,2932,0.01,0,Guess,0
Greece,300,27344,0.8,0,Guess,21875
Greenland,304,152,0.01,0,Guess,0
Grenada,308,30,0.01,0,Guess,0
Guadeloupe,312,53,0.01,0,Guess,0
Guam,316,54,0.01,0,Guess,0
Guatemala,320,131583,0.01,0,Guess,0
Guinea,324,3531,0.01,0,Guess,0
Guyana,328,2412,0.01,0,Guess,0
Haiti,332,503739,0.01,0,Guess,0
Heard Island and McDonald Islands,334,503739,0.01,0,Guess,0
Holy See,336,503739,0.01,0,Guess,0
Honduras,340,181280,0.01,0,Guess,0
Hong Kong,344,181280,0.01,0,Guess,0
Hungary,348,60000,0.8,0,Guess,0
Iceland,352,72000,0.01,0,Guess,0
India,356,623325,0.01,0,Guess,0
Indonesia,360,437570,0.01,0,Guess,0
Iran (Islamic Republic of),364,131405,0.01,0,Guess,0
Iraq,368,49885,0.01,0,Guess,0
Ireland,372,92200,0.8,0,Guess,73760
Israel,376,4000,0.01,0,Guess,0
Italy,380,388324,0.8,0,Guess,0
Côte d'Ivoire,384,388324,0.01,0,Guess,0
Jamaica,388,4009,0.01,0,Guess,0
Japan,392,14959,0.8,0,Guess,0
Kazakhstan,398,2070273,0.01,0,Guess,0
Jordan,400,2249,0.01,0,Guess,0
Kenya,404,2088,0.01,0,Guess,0
Korea (Democratic People's Republic of),408,2088,0.01,0,Guess,0
Korea (Republic of),410,2088,0.01,0,Guess,0
Kuwait,414,1213,0.01,0,Guess,0
Kyrgyzstan,417,467249,0.01,0,Guess,0
Lao People's Democratic Republic,418,21328,0.01,0,Guess,0
Lebanon,422,3229,0.01,0,Guess,0
Lesotho,426,51898,0.01,0,Guess,0
Latvia,428,9300,0.01,0,Guess,0
Liberia,430,9300,0.01,0,Guess,0
Libya,434,45520,0.01,0,Guess,0
Liechtenstein,438,266,0.01,0,Guess,0
Lithuania,440,17321,0.01,0,Guess,0
Luxembourg,442,4535,0.8,0,Guess,0
Macao,446,4535,0.01,0,Guess,0
Madagascar,450,498,0.01,0,Guess,0
Malawi,454,49,0.01,0,Guess,0
Malaysia,458,3673,0.01,0,Guess,0
Maldives,462,3673,0.01,0,Guess,0
Mali,466,549316,0.01,0,Guess,0
Malta,470,1070,0.01,0,Guess,10
Martinique,474,1100,0.01,0,Guess,0
Mauritania,478,67020,0.01,0,Guess,0
Mauritius,480,150,0.01,0,Guess,0
Mexico,484,6378267,0.01,0,Guess,63782
Monaco,492,6378267,0.01,0,Guess,0
Mongolia,496,3635489,0.01,0,Guess,0
Moldova (Republic of),498,3635489,0.01,0,Guess,0
Montenegro,499,4422,0.01,0,Guess,0
Montserrat,500,4422,0.01,0,Guess,0
Morocco,504,180000,0.01,0,Guess,0
Mozambique,508,180000,0.01,0,Guess,0
Oman,512,180000,0.01,0,Guess,0
Namibia,516,45533,0.01,0,Guess,0
Nauru,520,45533,0.01,0,Guess,0
Nepal,524,45533,0.01,0,Guess,0
Netherlands,528,139804,0.8,0,Guess,0
Curaçao,531,139804,0.01,0,Guess,0
Aruba,533,,0.01,0,Guess,0
Sint Maarten (Dutch part),534,,0.01,0,Guess,0
Bonaire Sint Eustatius and Saba,535,,0.01,0,Guess,0
New Caledonia,540,11250,0.01,0,Guess,0
Vanuatu,548,7169,0.01,0,Guess,0
New Zealand,554,48801,0.01,0,Guess,0
Nicaragua,558,268358,0.01,0,Guess,0
Niger,562,248200,0.01,0,Guess,0
Nigeria,566,102356,0.01,0,Guess,0
Niue,570,102356,0.01,0,Guess,0
Norfolk Island,574,102356,0.01,0,Guess,0
Norway,578,34958,0.8,0,Guess,0
Northern Mariana Islands,580,34958,0.01,0,Guess,0
United States Minor Outlying Islands,581,34958,0.01,0,Guess,0
Micronesia (Federated States of),583,34958,0.01,0,Guess,0
Marshall Islands,584,34958,0.01,0,Guess,0
Palau,585,34958,0.01,0,Guess,0
Pakistan,586,364870,0.01,0,Guess,0
Panama,591,106687,0.01,0,Guess,1066
Papua New Guinea,598,2048,0.01,0,Guess,0
Paraguay,600,275371,0.01,0,Guess,0
Peru,604,749032,0.01,0,Guess,0
Philippines,608,246271,0.01,0,Guess,0
Pitcairn,612,246271,0.01,0,Guess,0
Poland,616,188528,0.8,0,Guess,0
Portugal,620,37000,0.01,0,Guess,0
Guinea-Bissau,624,2426,0.01,0,Guess,0
Timor-Leste,626,52143,0.01,0,Guess,0
Puerto Rico,630,5848,0.01,0,Guess,0
Qatar,634,39429,0.01,0,Guess,0
Réunion,638,382,0.01,0,Guess,0
Romania,642,503466,0.8,0,Guess,0
Russian Federation,643,1374210,0.01,0,Guess,0
Rwanda,646,1374210,0.01,0,Guess,0
Saint Barthelemy,652,1374210,0.01,0,Guess,0
Saint Helena and Ascension and Tristan da Cunha,654,0,0.01,0,Guess,0
Saint Kitts and Nevis,659,0,0.01,0,Guess,0
Anguilla,660,0,0.01,0,Guess,0
Saint Lucia,662,1116,0.01,0,Guess,0
Saint Martin (French part),663,1116,0.01,0,Guess,0
Saint Pierre and Miquelon,666,,0.01,0,Guess,0
Saint Vincent and the Grenadines,670,,0.01,0,Guess,0
San Marino,674,,0.01,0,Guess,0
Sao Tome and Principe,678,296,0.01,0,Guess,0
Saudi Arabia,682,33731,0.8,0,Guess,0
Senegal,686,549880,0.01,0,Guess,0
Serbia,688,15337,0.01,0,Guess,0
Seychelles,690,15337,0.01,0,Guess,0
Sierra Leone,694,436036,0.01,0,Guess,0
Singapore,702,436036,0.01,0,Guess,0
Slovakia,703,6866,0.8,0,Guess,0
Viet Nam,704,54117,0.01,0,Guess,0
Slovenia,705,22954,0.8,0,Guess,0
Somalia,706,889,0.01,0,Guess,0
South Africa,710,320787,0.8,0,Guess,0
Zimbabwe,716,28219,0.01,0,Guess,282
Spain,724,293449,0.8,0,Guess,0
South Sudan,728,,0.01,0,Guess,0
Sudan,729,790086,0.01,0,Guess,0
Western Sahara,732,790086,0.01,0,Guess,0
Suriname,740,279,0.01,0,Guess,0
Svalbard and Jan Mayen,744,279,0.01,0,Guess,0
Swaziland,748,1673,0.01,0,Guess,0
Sweden,752,101247,0.9,0,Guess,0
Switzerland,756,55662,0.01,0,Guess,0
Syrian Arab Republic,760,13692,0.01,0,Guess,0
Tajikistan,762,78765,0.01,0,Guess,0
Thailand,764,19263,0.01,0,Guess,0
Togo,768,1814,0.01,0,Guess,0
Tokelau,772,1814,0.01,0,Guess,0
